Nuclide;Z;N;A;Nuclide
Ir-196;77;119;196;196Ir
Ir-196;77;119;196;196Ir
Ir-193;77;116;193;193Ir
Ir-193;77;116;193;193Ir
Ir-194;77;117;194;194Ir
Ir-194;77;117;194;194Ir
Ir-194;77;117;194;194Ir
Ir-191;77;114;191;191Ir
Ir-191;77;114;191;191Ir
Ir-191;77;114;191;191Ir
Ir-192;77;115;192;192Ir
Ir-192;77;115;192;192Ir
Ir-192;77;115;192;192Ir
Ir-192;77;115;192;192Ir
Ir-192;77;115;192;192Ir
Ir-178;77;101;178;178Ir
Ir-179;77;102;179;179Ir
Ir-177;77;100;177;177Ir
Ir-177;77;100;177;177Ir
Ir-186;77;109;186;186Ir
Ir-186;77;109;186;186Ir
Ir-186;77;109;186;186Ir
Ir-184;77;107;184;184Ir
Ir-185;77;108;185;185Ir
Ir-182;77;105;182;182Ir
Ir-183;77;106;183;183Ir
Ir-180;77;103;180;180Ir
Ir-181;77;104;181;181Ir
Ir-167;77;90;167;167Ir
Ir-167;77;90;167;167Ir
Ir-167;77;90;167;167Ir
Ir-167;77;90;167;167Ir
Ir-167;77;90;167;167Ir
Ir-167;77;90;167;167Ir
Ir-168;77;91;168;168Ir
Ir-168;77;91;168;168Ir
Ir-168;77;91;168;168Ir
Ir-168;77;91;168;168Ir
Ir-168;77;91;168;168Ir
Ir-168;77;91;168;168Ir
Ir-169;77;92;169;169Ir
Ir-169;77;92;169;169Ir
Ir-169;77;92;169;169Ir
Ir-169;77;92;169;169Ir
Ir-169;77;92;169;169Ir
Ir-169;77;92;169;169Ir
Ir-170;77;93;170;170Ir
Ir-170;77;93;170;170Ir
Ir-170;77;93;170;170Ir
Ir-170;77;93;170;170Ir
Ir-170;77;93;170;170Ir
Ir-171;77;94;171;171Ir
Ir-171;77;94;171;171Ir
Ir-171;77;94;171;171Ir
Ir-171;77;94;171;171Ir
Ir-171;77;94;171;171Ir
Ir-171;77;94;171;171Ir
Ir-172;77;95;172;172Ir
Ir-172;77;95;172;172Ir
Ir-172;77;95;172;172Ir
Ir-172;77;95;172;172Ir
Ir-173;77;96;173;173Ir
Ir-173;77;96;173;173Ir
Ir-173;77;96;173;173Ir
Ir-173;77;96;173;173Ir
Ir-174;77;97;174;174Ir
Ir-174;77;97;174;174Ir
Ir-174;77;97;174;174Ir
Ir-174;77;97;174;174Ir
Ir-175;77;98;175;175Ir
Ir-175;77;98;175;175Ir
Ir-176;77;99;176;176Ir
Ir-176;77;99;176;176Ir
Ir-163;77;86;163;163Ir
Ir-164;77;87;164;164Ir
Ir-164;77;87;164;164Ir
Ir-164;77;87;164;164Ir
Ir-165;77;88;165;165Ir
Ir-165;77;88;165;165Ir
Ir-165;77;88;165;165Ir
Ir-165;77;88;165;165Ir
Ir-166;77;89;166;166Ir
Ir-166;77;89;166;166Ir
Ir-166;77;89;166;166Ir
Ir-166;77;89;166;166Ir
Pt-208;78;130;208;208Pt
Pt-208;78;130;208;208Pt
Pt-178;78;100;178;178Pt
Pt-178;78;100;178;178Pt
Pt-179;78;101;179;179Pt
Pt-179;78;101;179;179Pt
Pt-184;78;106;184;184Pt
Pt-184;78;106;184;184Pt
Pt-184;78;106;184;184Pt
Pt-185;78;107;185;185Pt
Pt-185;78;107;185;185Pt
Pt-185;78;107;185;185Pt
Pt-186;78;108;186;186Pt
Pt-186;78;108;186;186Pt
Pt-187;78;109;187;187Pt
Pt-180;78;102;180;180Pt
Pt-180;78;102;180;180Pt
Pt-181;78;103;181;181Pt
Pt-181;78;103;181;181Pt
Pt-182;78;104;182;182Pt
Pt-182;78;104;182;182Pt
Pt-183;78;105;183;183Pt
Pt-183;78;105;183;183Pt
Pt-183;78;105;183;183Pt
Pt-183;78;105;183;183Pt
Pt-183;78;105;183;183Pt
Pt-188;78;110;188;188Pt
Pt-188;78;110;188;188Pt
Pt-189;78;111;189;189Pt
Pt-190;78;112;190;190Pt
Pt-195;78;117;195;195Pt
Pt-195;78;117;195;195Pt
Pt-196;78;118;196;196Pt
Pt-197;78;119;197;197Pt
Pt-197;78;119;197;197Pt
Pt-197;78;119;197;197Pt
Pt-191;78;113;191;191Pt
Pt-192;78;114;192;192Pt
Pt-193;78;115;193;193Pt
Pt-193;78;115;193;193Pt
Pt-194;78;116;194;194Pt
Pt-198;78;120;198;198Pt
Pt-199;78;121;199;199Pt
Pt-199;78;121;199;199Pt
Pt-200;78;122;200;200Pt
Pt-201;78;123;201;201Pt
Pt-206;78;128;206;206Pt
Pt-206;78;128;206;206Pt
Pt-207;78;129;207;207Pt
Pt-207;78;129;207;207Pt
Pt-202;78;124;202;202Pt
Pt-202;78;124;202;202Pt
Pt-203;78;125;203;203Pt
Pt-204;78;126;204;204Pt
Pt-205;78;127;205;205Pt
Pt-166;78;88;166;166Pt
Pt-165;78;87;165;165Pt
Pt-167;78;89;167;167Pt
Pt-169;78;91;169;169Pt
Pt-168;78;90;168;168Pt
Pt-171;78;93;171;171Pt
Pt-171;78;93;171;171Pt
Pt-170;78;92;170;170Pt
Pt-170;78;92;170;170Pt
Pt-173;78;95;173;173Pt
Pt-173;78;95;173;173Pt
Pt-172;78;94;172;172Pt
Pt-172;78;94;172;172Pt
Pt-175;78;97;175;175Pt
Pt-175;78;97;175;175Pt
Pt-174;78;96;174;174Pt
Pt-174;78;96;174;174Pt
Pt-177;78;99;177;177Pt
Pt-177;78;99;177;177Pt
Pt-176;78;98;176;176Pt
Pt-176;78;98;176;176Pt
Au-169;79;90;169;169Au
Au-169;79;90;169;169Au
Au-171;79;92;171;171Au
Au-171;79;92;171;171Au
Au-171;79;92;171;171Au
Au-171;79;92;171;171Au
Au-170;79;91;170;170Au
Au-170;79;91;170;170Au
Au-170;79;91;170;170Au
Au-170;79;91;170;170Au
Au-173;79;94;173;173Au
Au-173;79;94;173;173Au
Au-173;79;94;173;173Au
Au-173;79;94;173;173Au
Au-173;79;94;173;173Au
Au-173;79;94;173;173Au
Au-172;79;93;172;172Au
Au-172;79;93;172;172Au
Au-172;79;93;172;172Au
Au-172;79;93;172;172Au
Au-172;79;93;172;172Au
Au-172;79;93;172;172Au
Au-175;79;96;175;175Au
Au-175;79;96;175;175Au
Au-175;79;96;175;175Au
Au-175;79;96;175;175Au
Au-174;79;95;174;174Au
Au-177;79;98;177;177Au
Au-177;79;98;177;177Au
Au-177;79;98;177;177Au
Au-177;79;98;177;177Au
Au-176;79;97;176;176Au
Au-176;79;97;176;176Au
Au-176;79;97;176;176Au
Au-176;79;97;176;176Au
Au-178;79;99;178;178Au
Au-178;79;99;178;178Au
Au-168;79;89;168;168Au
Au-188;79;109;188;188Au
Au-179;79;100;179;179Au
Au-179;79;100;179;179Au
Au-182;79;103;182;182Au
Au-182;79;103;182;182Au
Au-183;79;104;183;183Au
Au-183;79;104;183;183Au
Au-180;79;101;180;180Au
Au-180;79;101;180;180Au
Au-181;79;102;181;181Au
Au-181;79;102;181;181Au
Au-186;79;107;186;186Au
Au-186;79;107;186;186Au
Au-187;79;108;187;187Au
Au-187;79;108;187;187Au
Au-187;79;108;187;187Au
Au-184;79;105;184;184Au
Au-184;79;105;184;184Au
Au-184;79;105;184;184Au
Au-184;79;105;184;184Au
Au-184;79;105;184;184Au
Au-185;79;106;185;185Au
Au-185;79;106;185;185Au
Au-185;79;106;185;185Au
Au-185;79;106;185;185Au
Au-189;79;110;189;189Au
Au-189;79;110;189;189Au
Au-189;79;110;189;189Au
Au-190;79;111;190;190Au
Au-190;79;111;190;190Au
Au-190;79;111;190;190Au
Au-193;79;114;193;193Au
Au-193;79;114;193;193Au
Au-193;79;114;193;193Au
Au-194;79;115;194;194Au
Au-194;79;115;194;194Au
Au-194;79;115;194;194Au
Au-191;79;112;191;191Au
Au-191;79;112;191;191Au
Au-192;79;113;192;192Au
Au-192;79;113;192;192Au
Au-192;79;113;192;192Au
Au-197;79;118;197;197Au
Au-197;79;118;197;197Au
Au-198;79;119;198;198Au
Au-198;79;119;198;198Au
Au-195;79;116;195;195Au
Au-195;79;116;195;195Au
Au-196;79;117;196;196Au
Au-196;79;117;196;196Au
Au-196;79;117;196;196Au
Au-196;79;117;196;196Au
Au-200;79;121;200;200Au
Au-200;79;121;200;200Au
Au-200;79;121;200;200Au
Au-201;79;122;201;201Au
Au-199;79;120;199;199Au
Au-199;79;120;199;199Au
Au-204;79;125;204;204Au
Au-205;79;126;205;205Au
Au-205;79;126;205;205Au
Au-205;79;126;205;205Au
Au-202;79;123;202;202Au
Au-203;79;124;203;203Au
Au-208;79;129;208;208Au
Au-208;79;129;208;208Au
Au-206;79;127;206;206Au
Au-207;79;128;207;207Au
Au-207;79;128;207;207Au
Au-209;79;130;209;209Au
Au-209;79;130;209;209Au
Au-210;79;131;210;210Au
Au-210;79;131;210;210Au
Hg-170;80;90;170;170Hg
Hg-174;80;94;174;174Hg
Hg-173;80;93;173;173Hg
Hg-172;80;92;172;172Hg
Hg-171;80;91;171;171Hg
Hg-178;80;98;178;178Hg
Hg-178;80;98;178;178Hg
Hg-177;80;97;177;177Hg
Hg-176;80;96;176;176Hg
Hg-175;80;95;175;175Hg
Hg-179;80;99;179;179Hg
Hg-179;80;99;179;179Hg
Hg-179;80;99;179;179Hg
Hg-183;80;103;183;183Hg
Hg-183;80;103;183;183Hg
Hg-183;80;103;183;183Hg
Hg-184;80;104;184;184Hg
Hg-184;80;104;184;184Hg
Hg-185;80;105;185;185Hg
Hg-185;80;105;185;185Hg
Hg-185;80;105;185;185Hg
Hg-185;80;105;185;185Hg
Hg-185;80;105;185;185Hg
Hg-186;80;106;186;186Hg
Hg-186;80;106;186;186Hg
Hg-187;80;107;187;187Hg
Hg-187;80;107;187;187Hg
Hg-187;80;107;187;187Hg
Hg-187;80;107;187;187Hg
Hg-188;80;108;188;188Hg
Hg-188;80;108;188;188Hg
Hg-189;80;109;189;189Hg
Hg-189;80;109;189;189Hg
Hg-189;80;109;189;189Hg
Hg-189;80;109;189;189Hg
Hg-190;80;110;190;190Hg
Hg-190;80;110;190;190Hg
Hg-191;80;111;191;191Hg
Hg-191;80;111;191;191Hg
Hg-191;80;111;191;191Hg
Hg-192;80;112;192;192Hg
Hg-193;80;113;193;193Hg
Hg-193;80;113;193;193Hg
Hg-193;80;113;193;193Hg
Hg-194;80;114;194;194Hg
Hg-195;80;115;195;195Hg
Hg-195;80;115;195;195Hg
Hg-195;80;115;195;195Hg
Hg-196;80;116;196;196Hg
Hg-197;80;117;197;197Hg
Hg-197;80;117;197;197Hg
Hg-197;80;117;197;197Hg
Hg-198;80;118;198;198Hg
Hg-199;80;119;199;199Hg
Hg-199;80;119;199;199Hg
Hg-200;80;120;200;200Hg
Hg-201;80;121;201;201Hg
Hg-202;80;122;202;202Hg
Hg-203;80;123;203;203Hg
Hg-204;80;124;204;204Hg
Hg-180;80;100;180;180Hg
Hg-180;80;100;180;180Hg
Hg-181;80;101;181;181Hg
Hg-181;80;101;181;181Hg
Hg-181;80;101;181;181Hg
Hg-181;80;101;181;181Hg
Hg-182;80;102;182;182Hg
Hg-182;80;102;182;182Hg
Hg-205;80;125;205;205Hg
Hg-205;80;125;205;205Hg
Hg-206;80;126;206;206Hg
Hg-207;80;127;207;207Hg
Hg-208;80;128;208;208Hg
Hg-209;80;129;209;209Hg
Hg-210;80;130;210;210Hg
Hg-210;80;130;210;210Hg
Hg-210;80;130;210;210Hg
Hg-211;80;131;211;211Hg
Hg-211;80;131;211;211Hg
Hg-212;80;132;212;212Hg
Hg-212;80;132;212;212Hg
Hg-213;80;133;213;213Hg
Hg-213;80;133;213;213Hg
Hg-214;80;134;214;214Hg
Hg-214;80;134;214;214Hg
Hg-215;80;135;215;215Hg
Hg-215;80;135;215;215Hg
Hg-216;80;136;216;216Hg
Hg-216;80;136;216;216Hg
Tl-192;81;111;192;192Tl
Tl-192;81;111;192;192Tl
Tl-193;81;112;193;193Tl
Tl-193;81;112;193;193Tl
Tl-193;81;112;193;193Tl
Tl-191;81;110;191;191Tl
Tl-191;81;110;191;191Tl
Tl-189;81;108;189;189Tl
Tl-189;81;108;189;189Tl
Tl-189;81;108;189;189Tl
Tl-190;81;109;190;190Tl
Tl-190;81;109;190;190Tl
Tl-190;81;109;190;190Tl
Tl-187;81;106;187;187Tl
Tl-187;81;106;187;187Tl
Tl-187;81;106;187;187Tl
Tl-187;81;106;187;187Tl
Tl-187;81;106;187;187Tl
Tl-188;81;107;188;188Tl
Tl-188;81;107;188;188Tl
Tl-188;81;107;188;188Tl
Tl-188;81;107;188;188Tl
Tl-185;81;104;185;185Tl
Tl-185;81;104;185;185Tl
Tl-185;81;104;185;185Tl
Tl-186;81;105;186;186Tl
Tl-186;81;105;186;186Tl
Tl-186;81;105;186;186Tl
Tl-183;81;102;183;183Tl
Tl-183;81;102;183;183Tl
Tl-183;81;102;183;183Tl
Tl-183;81;102;183;183Tl
Tl-183;81;102;183;183Tl
Tl-183;81;102;183;183Tl
Tl-184;81;103;184;184Tl
Tl-184;81;103;184;184Tl
Tl-203;81;122;203;203Tl
Tl-204;81;123;204;204Tl
Tl-204;81;123;204;204Tl
Tl-201;81;120;201;201Tl
Tl-201;81;120;201;201Tl
Tl-202;81;121;202;202Tl
Tl-200;81;119;200;200Tl
Tl-200;81;119;200;200Tl
Tl-198;81;117;198;198Tl
Tl-198;81;117;198;198Tl
Tl-198;81;117;198;198Tl
Tl-198;81;117;198;198Tl
Tl-199;81;118;199;199Tl
Tl-199;81;118;199;199Tl
Tl-196;81;115;196;196Tl
Tl-196;81;115;196;196Tl
Tl-196;81;115;196;196Tl
Tl-197;81;116;197;197Tl
Tl-197;81;116;197;197Tl
Tl-194;81;113;194;194Tl
Tl-194;81;113;194;194Tl
Tl-194;81;113;194;194Tl
Tl-195;81;114;195;195Tl
Tl-195;81;114;195;195Tl
Tl-181;81;100;181;181Tl
Tl-181;81;100;181;181Tl
Tl-181;81;100;181;181Tl
Tl-181;81;100;181;181Tl
Tl-182;81;101;182;182Tl
Tl-182;81;101;182;182Tl
Tl-214;81;133;214;214Tl
Tl-214;81;133;214;214Tl
Tl-215;81;134;215;215Tl
Tl-215;81;134;215;215Tl
Tl-212;81;131;212;212Tl
Tl-213;81;132;213;213Tl
Tl-211;81;130;211;211Tl
Tl-211;81;130;211;211Tl
Tl-209;81;128;209;209Tl
Tl-210;81;129;210;210Tl
Tl-210;81;129;210;210Tl
Tl-207;81;126;207;207Tl
Tl-207;81;126;207;207Tl
Tl-208;81;127;208;208Tl
Tl-205;81;124;205;205Tl
Tl-206;81;125;206;206Tl
Tl-206;81;125;206;206Tl
Tl-218;81;137;218;218Tl
Tl-216;81;135;216;216Tl
Tl-216;81;135;216;216Tl
Tl-217;81;136;217;217Tl
Tl-217;81;136;217;217Tl
Tl-176;81;95;176;176Tl
Tl-177;81;96;177;177Tl
Tl-177;81;96;177;177Tl
Tl-178;81;97;178;178Tl
Tl-178;81;97;178;178Tl
Tl-179;81;98;179;179Tl
Tl-179;81;98;179;179Tl
Tl-179;81;98;179;179Tl
Tl-179;81;98;179;179Tl
Tl-179;81;98;179;179Tl
Tl-179;81;98;179;179Tl
Tl-179;81;98;179;179Tl
Tl-180;81;99;180;180Tl
Tl-180;81;99;180;180Tl
Tl-180;81;99;180;180Tl
Pb-178;82;96;178;178Pb
Pb-179;82;97;179;179Pb
Pb-180;82;98;180;180Pb
Pb-181;82;99;181;181Pb
Pb-181;82;99;181;181Pb
Pb-198;82;116;198;198Pb
Pb-199;82;117;199;199Pb
Pb-199;82;117;199;199Pb
Pb-199;82;117;199;199Pb
Pb-200;82;118;200;200Pb
Pb-201;82;119;201;201Pb
Pb-201;82;119;201;201Pb
Pb-194;82;112;194;194Pb
Pb-194;82;112;194;194Pb
Pb-195;82;113;195;195Pb
Pb-195;82;113;195;195Pb
Pb-196;82;114;196;196Pb
Pb-196;82;114;196;196Pb
Pb-197;82;115;197;197Pb
Pb-197;82;115;197;197Pb
Pb-197;82;115;197;197Pb
Pb-202;82;120;202;202Pb
Pb-202;82;120;202;202Pb
Pb-202;82;120;202;202Pb
Pb-203;82;121;203;203Pb
Pb-203;82;121;203;203Pb
Pb-203;82;121;203;203Pb
Pb-204;82;122;204;204Pb
Pb-204;82;122;204;204Pb
Pb-187;82;105;187;187Pb
Pb-187;82;105;187;187Pb
Pb-187;82;105;187;187Pb
Pb-187;82;105;187;187Pb
Pb-188;82;106;188;188Pb
Pb-188;82;106;188;188Pb
Pb-189;82;107;189;189Pb
Pb-189;82;107;189;189Pb
Pb-189;82;107;189;189Pb
Pb-189;82;107;189;189Pb
Pb-190;82;108;190;190Pb
Pb-190;82;108;190;190Pb
Pb-183;82;101;183;183Pb
Pb-183;82;101;183;183Pb
Pb-184;82;102;184;184Pb
Pb-184;82;102;184;184Pb
Pb-185;82;103;185;185Pb
Pb-185;82;103;185;185Pb
Pb-185;82;103;185;185Pb
Pb-185;82;103;185;185Pb
Pb-186;82;104;186;186Pb
Pb-186;82;104;186;186Pb
Pb-191;82;109;191;191Pb
Pb-191;82;109;191;191Pb
Pb-191;82;109;191;191Pb
Pb-191;82;109;191;191Pb
Pb-192;82;110;192;192Pb
Pb-192;82;110;192;192Pb
Pb-193;82;111;193;193Pb
Pb-193;82;111;193;193Pb
Pb-182;82;100;182;182Pb
Pb-182;82;100;182;182Pb
Pb-220;82;138;220;220Pb
Pb-216;82;134;216;216Pb
Pb-217;82;135;217;217Pb
Pb-218;82;136;218;218Pb
Pb-219;82;137;219;219Pb
Pb-209;82;127;209;209Pb
Pb-210;82;128;210;210Pb
Pb-210;82;128;210;210Pb
Pb-211;82;129;211;211Pb
Pb-205;82;123;205;205Pb
Pb-205;82;123;205;205Pb
Pb-206;82;124;206;206Pb
Pb-207;82;125;207;207Pb
Pb-207;82;125;207;207Pb
Pb-208;82;126;208;208Pb
Pb-212;82;130;212;212Pb
Pb-213;82;131;213;213Pb
Pb-214;82;132;214;214Pb
Pb-215;82;133;215;215Pb
Bi-203;83;120;203;203Bi
Bi-203;83;120;203;203Bi
Bi-204;83;121;204;204Bi
Bi-204;83;121;204;204Bi
Bi-204;83;121;204;204Bi
Bi-196;83;113;196;196Bi
Bi-196;83;113;196;196Bi
Bi-196;83;113;196;196Bi
Bi-196;83;113;196;196Bi
Bi-196;83;113;196;196Bi
Bi-196;83;113;196;196Bi
Bi-196;83;113;196;196Bi
Bi-197;83;114;197;197Bi
Bi-197;83;114;197;197Bi
Bi-197;83;114;197;197Bi
Bi-197;83;114;197;197Bi
Bi-197;83;114;197;197Bi
Bi-194;83;111;194;194Bi
Bi-194;83;111;194;194Bi
Bi-194;83;111;194;194Bi
Bi-194;83;111;194;194Bi
Bi-194;83;111;194;194Bi
Bi-195;83;112;195;195Bi
Bi-195;83;112;195;195Bi
Bi-195;83;112;195;195Bi
Bi-195;83;112;195;195Bi
Bi-200;83;117;200;200Bi
Bi-200;83;117;200;200Bi
Bi-200;83;117;200;200Bi
Bi-201;83;118;201;201Bi
Bi-201;83;118;201;201Bi
Bi-201;83;118;201;201Bi
Bi-201;83;118;201;201Bi
Bi-198;83;115;198;198Bi
Bi-198;83;115;198;198Bi
Bi-198;83;115;198;198Bi
Bi-199;83;116;199;199Bi
Bi-199;83;116;199;199Bi
Bi-199;83;116;199;199Bi
Bi-199;83;116;199;199Bi
Bi-202;83;119;202;202Bi
Bi-193;83;110;193;193Bi
Bi-193;83;110;193;193Bi
Bi-193;83;110;193;193Bi
Bi-193;83;110;193;193Bi
Bi-185;83;102;185;185Bi
Bi-185;83;102;185;185Bi
Bi-186;83;103;186;186Bi
Bi-186;83;103;186;186Bi
Bi-184;83;101;184;184Bi
Bi-184;83;101;184;184Bi
Bi-189;83;106;189;189Bi
Bi-189;83;106;189;189Bi
Bi-189;83;106;189;189Bi
Bi-189;83;106;189;189Bi
Bi-190;83;107;190;190Bi
Bi-190;83;107;190;190Bi
Bi-190;83;107;190;190Bi
Bi-190;83;107;190;190Bi
Bi-187;83;104;187;187Bi
Bi-187;83;104;187;187Bi
Bi-188;83;105;188;188Bi
Bi-188;83;105;188;188Bi
Bi-188;83;105;188;188Bi
Bi-188;83;105;188;188Bi
Bi-191;83;108;191;191Bi
Bi-191;83;108;191;191Bi
Bi-191;83;108;191;191Bi
Bi-191;83;108;191;191Bi
Bi-191;83;108;191;191Bi
Bi-192;83;109;192;192Bi
Bi-192;83;109;192;192Bi
Bi-192;83;109;192;192Bi
Bi-192;83;109;192;192Bi
Bi-223;83;140;223;223Bi
Bi-223;83;140;223;223Bi
Bi-224;83;141;224;224Bi
Bi-224;83;141;224;224Bi
Bi-218;83;135;218;218Bi
Bi-219;83;136;219;219Bi
Bi-216;83;133;216;216Bi
Bi-216;83;133;216;216Bi
Bi-217;83;134;217;217Bi
Bi-222;83;139;222;222Bi
Bi-220;83;137;220;220Bi
Bi-221;83;138;221;221Bi
Bi-221;83;138;221;221Bi
Bi-214;83;131;214;214Bi
Bi-214;83;131;214;214Bi
Bi-215;83;132;215;215Bi
Bi-215;83;132;215;215Bi
Bi-215;83;132;215;215Bi
Bi-213;83;130;213;213Bi
Bi-213;83;130;213;213Bi
Bi-207;83;124;207;207Bi
Bi-208;83;125;208;208Bi
Bi-208;83;125;208;208Bi
Bi-205;83;122;205;205Bi
Bi-206;83;123;206;206Bi
Bi-206;83;123;206;206Bi
Bi-211;83;128;211;211Bi
Bi-211;83;128;211;211Bi
Bi-212;83;129;212;212Bi
Bi-212;83;129;212;212Bi
Bi-212;83;129;212;212Bi
Bi-212;83;129;212;212Bi
Bi-212;83;129;212;212Bi
Bi-212;83;129;212;212Bi
Bi-209;83;126;209;209Bi
Bi-210;83;127;210;210Bi
Bi-210;83;127;210;210Bi
Bi-210;83;127;210;210Bi
Po-205;84;121;205;205Po
Po-205;84;121;205;205Po
Po-205;84;121;205;205Po
Po-205;84;121;205;205Po
Po-206;84;122;206;206Po
Po-206;84;122;206;206Po
Po-207;84;123;207;207Po
Po-207;84;123;207;207Po
Po-207;84;123;207;207Po
Po-208;84;124;208;208Po
Po-208;84;124;208;208Po
Po-209;84;125;209;209Po
Po-209;84;125;209;209Po
Po-210;84;126;210;210Po
Po-211;84;127;211;211Po
Po-211;84;127;211;211Po
Po-211;84;127;211;211Po
Po-212;84;128;212;212Po
Po-212;84;128;212;212Po
Po-212;84;128;212;212Po
Po-213;84;129;213;213Po
Po-214;84;130;214;214Po
Po-215;84;131;215;215Po
Po-215;84;131;215;215Po
Po-216;84;132;216;216Po
Po-217;84;133;217;217Po
Po-218;84;134;218;218Po
Po-218;84;134;218;218Po
Po-219;84;135;219;219Po
Po-219;84;135;219;219Po
Po-220;84;136;220;220Po
Po-221;84;137;221;221Po
Po-222;84;138;222;222Po
Po-223;84;139;223;223Po
Po-224;84;140;224;224Po
Po-225;84;141;225;225Po
Po-226;84;142;226;226Po
Po-227;84;143;227;227Po
Po-186;84;102;186;186Po
Po-187;84;103;187;187Po
Po-188;84;104;188;188Po
Po-188;84;104;188;188Po
Po-189;84;105;189;189Po
Po-190;84;106;190;190Po
Po-191;84;107;191;191Po
Po-191;84;107;191;191Po
Po-192;84;108;192;192Po
Po-192;84;108;192;192Po
Po-193;84;109;193;193Po
Po-193;84;109;193;193Po
Po-194;84;110;194;194Po
Po-194;84;110;194;194Po
Po-195;84;111;195;195Po
Po-195;84;111;195;195Po
Po-195;84;111;195;195Po
Po-195;84;111;195;195Po
Po-195;84;111;195;195Po
Po-196;84;112;196;196Po
Po-196;84;112;196;196Po
Po-197;84;113;197;197Po
Po-197;84;113;197;197Po
Po-197;84;113;197;197Po
Po-197;84;113;197;197Po
Po-197;84;113;197;197Po
Po-198;84;114;198;198Po
Po-198;84;114;198;198Po
Po-199;84;115;199;199Po
Po-199;84;115;199;199Po
Po-199;84;115;199;199Po
Po-199;84;115;199;199Po
Po-199;84;115;199;199Po
Po-200;84;116;200;200Po
Po-200;84;116;200;200Po
Po-201;84;117;201;201Po
Po-201;84;117;201;201Po
Po-201;84;117;201;201Po
Po-201;84;117;201;201Po
Po-201;84;117;201;201Po
Po-202;84;118;202;202Po
Po-202;84;118;202;202Po
Po-203;84;119;203;203Po
Po-203;84;119;203;203Po
Po-203;84;119;203;203Po
Po-203;84;119;203;203Po
Po-204;84;120;204;204Po
Po-204;84;120;204;204Po
At-193;85;108;193;193At
At-193;85;108;193;193At
At-193;85;108;193;193At
At-193;85;108;193;193At
At-194;85;109;194;194At
At-194;85;109;194;194At
At-191;85;106;191;191At
At-191;85;106;191;191At
At-192;85;107;192;192At
At-192;85;107;192;192At
At-204;85;119;204;204At
At-204;85;119;204;204At
At-204;85;119;204;204At
At-202;85;117;202;202At
At-202;85;117;202;202At
At-202;85;117;202;202At
At-202;85;117;202;202At
At-202;85;117;202;202At
At-202;85;117;202;202At
At-203;85;118;203;203At
At-203;85;118;203;203At
At-200;85;115;200;200At
At-200;85;115;200;200At
At-200;85;115;200;200At
At-200;85;115;200;200At
At-200;85;115;200;200At
At-200;85;115;200;200At
At-200;85;115;200;200At
At-201;85;116;201;201At
At-201;85;116;201;201At
At-198;85;113;198;198At
At-198;85;113;198;198At
At-198;85;113;198;198At
At-198;85;113;198;198At
At-199;85;114;199;199At
At-199;85;114;199;199At
At-199;85;114;199;199At
At-196;85;111;196;196At
At-196;85;111;196;196At
At-197;85;112;197;197At
At-197;85;112;197;197At
At-197;85;112;197;197At
At-197;85;112;197;197At
At-197;85;112;197;197At
At-195;85;110;195;195At
At-195;85;110;195;195At
At-213;85;128;213;213At
At-214;85;129;214;214At
At-211;85;126;211;211At
At-211;85;126;211;211At
At-211;85;126;211;211At
At-212;85;127;212;212At
At-212;85;127;212;212At
At-212;85;127;212;212At
At-212;85;127;212;212At
At-212;85;127;212;212At
At-209;85;124;209;209At
At-209;85;124;209;209At
At-210;85;125;210;210At
At-210;85;125;210;210At
At-207;85;122;207;207At
At-207;85;122;207;207At
At-208;85;123;208;208At
At-208;85;123;208;208At
At-205;85;120;205;205At
At-205;85;120;205;205At
At-206;85;121;206;206At
At-206;85;121;206;206At
At-215;85;130;215;215At
At-224;85;139;224;224At
At-222;85;137;222;222At
At-223;85;138;223;223At
At-220;85;135;220;220At
At-220;85;135;220;220At
At-221;85;136;221;221At
At-218;85;133;218;218At
At-218;85;133;218;218At
At-219;85;134;219;219At
At-219;85;134;219;219At
At-216;85;131;216;216At
At-216;85;131;216;216At
At-216;85;131;216;216At
At-217;85;132;217;217At
At-217;85;132;217;217At
At-225;85;140;225;225At
At-226;85;141;226;226At
At-229;85;144;229;229At
At-229;85;144;229;229At
At-227;85;142;227;227At
At-227;85;142;227;227At
At-228;85;143;228;228At
Rn-214;86;128;214;214Rn
Rn-213;86;127;213;213Rn
Rn-215;86;129;215;215Rn
Rn-210;86;124;210;210Rn
Rn-210;86;124;210;210Rn
Rn-209;86;123;209;209Rn
Rn-209;86;123;209;209Rn
Rn-212;86;126;212;212Rn
Rn-211;86;125;211;211Rn
Rn-211;86;125;211;211Rn
Rn-206;86;120;206;206Rn
Rn-206;86;120;206;206Rn
Rn-208;86;122;208;208Rn
Rn-208;86;122;208;208Rn
Rn-207;86;121;207;207Rn
Rn-207;86;121;207;207Rn
Rn-226;86;140;226;226Rn
Rn-225;86;139;225;225Rn
Rn-224;86;138;224;224Rn
Rn-221;86;135;221;221Rn
Rn-221;86;135;221;221Rn
Rn-220;86;134;220;220Rn
Rn-223;86;137;223;223Rn
Rn-222;86;136;222;222Rn
Rn-217;86;131;217;217Rn
Rn-216;86;130;216;216Rn
Rn-219;86;133;219;219Rn
Rn-218;86;132;218;218Rn
Rn-231;86;145;231;231Rn
Rn-228;86;142;228;228Rn
Rn-227;86;141;227;227Rn
Rn-230;86;144;230;230Rn
Rn-229;86;143;229;229Rn
Rn-195;86;109;195;195Rn
